id,Name_Eng,Name_Tel,Arohana_Swaras,Avarohana_Swaras,Arohana_Order,Avarohana_Order,category,melam_num,janaka_melam,janaka,chakra,alternates,one_swara_diff,src,is_vakra
36,jangla,జంగ్ల,"['n3', 'd2', 'n3', 's', 'r2', 'g3', 'm1', 'p', 'd2', 'n3']","['d2', 'p', 'm1', 'g3', 'r2', 's', 'n3', 'd2', 'n3', 's']",N3|D2|N3|S|R2|G3|M1|P|D2|N3,D2|P|M1|G3|R2|S|N3|D2|N3|S,సంపూర్ణ,,29,ధీరశంకరాభరణం,,[],"['షహానా', 'యోగసురభి', 'యోగసౌరభం', 'యమన్', 'వివర్ధని']",Ragapravaham by Dhandapani MN& D Pattammal,1
38,bhinnapancamam,భిన్నపంచమం,"['s', 'g1', 'm1', 'p', 'd1', 'n3', 's.']","['s.', 'n3', 'd1', 'p', 'm1', 'g1', 'r1', 's']",S|G1|M1|P|D1|N3|S',S'|N3|D1|P|M1|G1|R1|S,షాడవ-సంపూర్ణ,,3,గానమూర్తి,,[],"['యుధిష్ఠిర', 'యోగలీల', 'యోగగిరి', 'వురుగమంజరి', 'వియోరంజని']",Ragapravaham by Dhandapani MN& D Pattammal,0
39,nagabhasini,నాగభాషిణి,"['s', 'g3', 'r2', 'g3', 'm1', 'p', 'd3', 'n3', 's.']","['s.', 'n3', 'p', 'm1', 'r2', 's']",S|G3|R2|G3|M1|D3|N3|S',S'|N3|P|M1|G3|R2|S,షాడవ,,30,నాగానందిని,,[],"['షహానా', 'యౌచన', 'యతికర్సన', 'వివర్ధని', 'విశ్నభరణం']",Ragapravaham by Dhandapani MN& D Pattammal,1
40,cakradhari,చక్రధారి,"['s', 'r2', 'm1', 'g2', 'p', 'd1', 'n2', 's.']","['s.', 'd1', 'p', 'm1', 'g2', 'r2', 's']",S|R2|M1|G2|P|D1|N2|S',S'|D1|P|M1|G2|R2|S,సంపూర్ణ-షాడవ,,20,నరభైరవి,,[],"['వీరవరాలి', 'విపులనంద', 'విప్రమతి', 'విప్రాధన్యాసి', 'విమలమోహన్']",Ragapravaham by Dhandapani MN& D Pattammal,1
42,amrtagauri,అమృతగౌరి,"['s', 'r1', 'm2', 'g2', 'r1', 'd2', 'n3', 's.']","['s.', 'n3', 'd2', 'p', 'm2', 'g2', 'r1', 's']",S|G2|M2|P|D2|N3|S,S|N3|D2|P|M2|G2|S,షాడవ,,47,సువర్ణాంగి,,[],"['యద్దేవిక', 'వీరవాహినీ', 'విరలీల', 'విన్నవర్తిలకం', 'విజయశ్రీకాంతి']",Ragapravaham by Dhandapani MN& D Pattammal,3
43,yogini,యోగిని,"['s', 'r3', 'g3', 'm1', 'p', 'd1', 's.']","['s.', 'n1', 'd1', 'p', 'm1', 'g3', 'r3', 's']",S|R3|G3|M1|P|D1|S',S'|N1|D1|P|M1|G3|R3|S,షాడవ-సంపూర్ణ,,31,యాగప్రియ,,['యోగిని'],"['యజ్ఞప్రియా', 'విత్తనాశంకి', 'విష్ణుప్రియ', 'సుశాంకవళి', 'సుసవాలి']",Ragapravaham by Dhandapani MN& D Pattammal,0
45,mohanavarali,మోహనవరాళి,"['s', 'r1', 'g1', 'm2', 'p', 'n1', 'd1', 'n1', 's.']","['s.', 'n1', 'p', 'd1', 'm2', 'g1', 'r1', 's']",S|R1|G1|M2|P|N1|D1|N1|S',S'|N1|P|D1|M2|G1|R1|S,సంపూర్ణ,,37,సాలగం,,['భోగవరళి'],"['విజయకోకిల', 'విజయభుసావలి', 'విఘ్నరంజిత', 'వరాలి', 'వద్దంబరి']",Ragapravaham by Dhandapani MN& D Pattammal,1
46,subhoshini,సుభోషిణి,"['s', 'r2', 's', 'm1', 'p', 'n2', 'd2', 's.']","['s.', 'd2', 'n2', 'p', 'm1', 'r2', 'm1', 's']",S|R2|S|M1|P|N2|D2|S',S'|D2|N2|P|M1|R2|M1|S,షాడవ-ఔడవ,,28,హరికాంభోజి,,[],"['హేమకరహరహరప్రియ', 'యువరాత్నికం', 'యువరత్న', 'యదుకులకాంభోజి', 'యాదవనాయకన్']",Ragapravaham by Dhandapani MN& D Pattammal,3
47,haripriya,హరిప్రియ,"['s', 'r2', 'g3', 'm1', 'p', 's.']","['s.', 'n3', 'd1', 'p', 'm1', 'g3', 's']",S|R2|G3|M1|P|S',S'|N3|D1|P|M1|G3|S,ఔడవ-షాడవ,,27,సరసాంగి,,[],"['షహానా', 'నాగభాషిని', 'యుధిష్ఠిర', 'యోగలీల', 'వురుగమంజరి']",,0
48,caturaangini,చతురాంగిని,"['s', 'r2', 'g3', 'm2', 'p', 'n3', 's.']","['s.', 'n3', 'd3', 'n3', 'p', 'g3', 'm2', 'g3', 'r2', 's']",S|R2|G3|M2|P|N3|S',S'|N3|D3|N3|P|G3|M2|G3|R2|S,షాడవ-సంపూర్ణ,,66,చిత్రాంబరి,,[],"['నాగభాషిని', 'యోగజ్యోతి', 'యాగజ్యోతి', 'విశ్వంబరి', 'విశ్వంబరి']",Ragapravaham by Dhandapani MN& D Pattammal,2
