id,Name_Eng,Name_Tel,Arohana_Swaras,Avarohana_Swaras,Arohana_Order,Avarohana_Order,category,melam_num,janaka_melam,janaka,chakra,alternates,one_swara_diff,src,is_vakra
955,saindwava gowla,సైంద్వవ గౌళ,"['s', 'r1', 'g2', 'm1', 'p', 'd1', 'n1', 's.']","['s.', 'd1', 'p', 'm1', 'g2', 'r1', 's']",S|R1|G2|M1|P|D1|N1|S',S'|D1|P|M1|G2|R1|S,సంపూర్ణ-షాడవ,,7,సేనవతి,,[],"['తోడీ', 'కల్గడ', 'కలకాంతి', 'యోగగిరి', 'వీరవరాలి']",,0
956,chathuranana priya,చతురాననప్రియ,"['s', 'r1', 'g2', 'p', 'd2', 'n3', 's.']","['s.', 'n3', 'd2', 'p', 'g2', 'r1', 's']",S|R1|G2|P|D2|N3|S',S'|N3|D2|P|G2|R1|S,షాడవ,,11,కోకిలప్రియ,,[],"['కరవని', 'కోకిలప్రియ', 'వర్ధని', 'శ్యామలి', 'వ్యఘ్రమంజరి']",,0
959,rajathavali,రజతావళి,"['s', 'r1', 'g2', 'm1', 'd1', 'p', 'd1', 'n2', 's.']","['s.', 'n2', 'd1', 'm1', 'g2', 'p', 'r1', 's']",S|R1|G2|M1|P|D1|N2|S',S'|N2|D1|M1|G2|P|R1|S,సంపూర్ణ,,8,హనుమతోడి,,[],"['ఆనంద', ' అసావేరి', 'అభేరి', 'హిందోళవసంత', 'భూపాల']",,2
960,kanada,కానడ,"['s', 'r2', 'g3', 'm1', 'p', 'm1', 'd2', 'n3', 's.']","['s.', 'n3', 's', 'd2', 'n3', 'p', 'm1', 'g3', 'm1', 'r2', 's']",S|R2|G3|M1|P|M1|D2|N3|S',S'|N3|S|D2|N3|P|M1|G3|M1|R2|S,సంపూర్ణ,,29,ధీరశంకరాభరణం,,[],"['గౌరీమనోహరి', 'నాగానందిని', 'ఉమాభరణ', 'నాగచంద్రిక', 'నాగభాషిని']",,1
965,ganasamavarali,గానసామవరాళి,"['s', 'r1', 'm1', 'p', 'd1', 'n3', 's.']","['s.', 'n3', 'd1', 'p', 'm1', 'g1', 'r1', 's']",S|R1|M1|P|D1|N3|S',S'|N3|D1|P|M1|G1|R1|S,షాడవ-సంపూర్ణ,,3,గానమూర్తి,,"['నమవరాళి', 'పూర్వవరాలి']","['వరాలి', 'గౌళిపంతు', 'పరజు', 'పహాడి', 'తానరూపి']",,0
981,surabhushani,సురభూషణి,"['s', 'r1', 'g1', 'm1', 'p', 's.']","['s.', 'n2', 'd2', 'n2', 'p', 'm1', 'r1', 's']",S|R1|G1|M1|P|S',S'|N2|D2|N2|P|M1|R1|S,ఔడవ-షాడవ,,4,వనస్పతి,,[],"['మనోరంజనీ', 'ఫేనాద్యుతి', 'కుంజరి', ' యోగవతీ', 'యోగబోధిని']",,2
986,subhapantuvarali,శుభపంతువరాళి,"['s', 'r1', 'g2', 'm2', 'p', 'd1', 'n3', 's.']","['s.', 'n3', 'd1', 'p', 'm2', 'g2', 'r1', 's']",S|R1|G2|M2|P|D1|N3|S',S'|N3|D1|P|M2|G2|R1|S,సంపూర్ణ,45,,,వసు,['శివపంతువరాళి'],"['వరాలి', 'దివ్యమణి', 'ఝాలవరాళి', 'ఛాయరంజని', 'ఝినవాళి']",,0
1012,samanarayani,సామనారాయణి,"['s', 'r1', 'm1', 'p', 'd1', 'n1', 's.']","['s.', 'p', 'd1', 'n1', 'p', 'm1', 'r1', 's']",S|R1|M1|P|D1|N1|S',S'|P|D1|N1|P|M1|R1|S,షాడవ,,13,గాయకప్రియ,,[],"[' అసావేరి', 'పహాడి', 'కల్గడ', 'మాలావశ్రీ', 'గుర్జరి']",,2
1018,kayajapriya,కాయజప్రియ,"['s', 'r1', 'g1', 'p', 'd2', 'n2', 's.']","['s.', 'n2', 'd2', 'p', 'g1', 'r1', 's']",S|R1|G1|P|D2|N2|S',S'|N2|D2|P|G1|R1|S,షాడవ,,4,వనస్పతి,,[],"[' ప్రతాపవరాలి', 'విసిఅంబరీ', 'విరవిక్రమ', 'వనస్పతి', 'వనలి']",,0
1025,parithi,పరితి,"['s', 'r1', 'm1', 'p', 'n2', 's.']","['s.', 'n2', 'p', 'm1', 'r1', 's']",S|R1|M1|P|N2|S',S'|N2|P|M1|R1|S,ఔడవ,,8,హనుమతోడి,,[],"['మధ్యమావతి', ' అసావేరి', 'హేమకరహరహరప్రియ', 'విత్తలప్రియ', 'విశారద']",,0
1041,bhairavi,భైరవి,"['s', 'r2', 'g2', 'm1', 'p', 'd2', 'n2', 's.']","['s.', 'n2', 'd1', 'p', 'm1', 'g2', 'r2', 's']",S|R2|G2|M1|P|D2|N2|S',S'|N2|D1|P|M1|G2|R2|S,సంపూర్ణ,,20,నరభైరవి,,[],"['ఖరహరప్రియ', 'అభేరి', 'బాగేశ్రీ', 'రుద్రప్రియా', 'నాదవరాంగిని']",,0
1044,shadvidhamargini,షడ్విధమార్గిణి,"['s', 'r1', 'g2', 'm2', 'p', 'd2', 'n2', 's.']","['s.', 'n2', 'd2', 'p', 'm2', 'g2', 'r1', 's']",S|R1|G2|M2|P|D2|N2|S',S'|N2|D2|P|M2|G2|R1|S,సంపూర్ణ,46,,,వసు,[],"['ప్రతాపము', ' యోగవతీ', 'యోగనంది', 'యోగబోధిని', 'యోగబోధన']",,0
1045,kalakamadi,కలకమది,"['s', 'r1', 'm1', 'p', 'd1', 'n1', 's.']","['s.', 'n1', 'd1', 'p', 'm1', 'r1', 's']",S|R1|M1|P|D1|N1|S',S'|N1|D1|P|M1|R1|S,షాడవ,,13,గాయకప్రియ,,[],"[' అసావేరి', 'పహాడి', 'కల్గడ', 'మాలావశ్రీ', 'గుర్జరి']",,0
1116,dheva mukhari,దేవముఖారి,"['s', 'r1', 'm1', 'p', 'd1', 'n1', 's.']","['s.', 'n1', 'd1', 'p', 'm1', 'r1', 's']",S|R1|M1|P|D1|N1|S',S'|N1|D1|P|M1|R1|S,షాడవ,,13,గాయకప్రియ,,[],"[' అసావేరి', 'పహాడి', 'కల్గడ', 'మాలావశ్రీ', 'గుర్జరి']",,0
1125,vishvambari,విశ్వంబరి,"['s', 'r1', 'g3', 'm2', 'p', 'd3', 'n3', 's.']","['s.','n3', 'd3', 'p', 'm2', 'g3', 'r1', 's']",S|R1|G3|M2|P|D3|N3|S',S'|N3|D3|P|M2|G3|R1|S,సంపూర్ణ,54,,,బ్రహ్మ,[],"['దివ్యమణి', 'విజయవసంతం', ' చిత్రాంబరి', 'రసమంజరి', 'విరజంతకా']",,0
1127,sindhu mukhari,సింధుముఖారి,"['s', 'g3', 'r2', 'g3', 'm1', 'p', 's.']","['s.', 'n3', 'd2', 'p', 'n3', 'd2', 'm1', 'g3', 'r2', 's']",S|G3|R2|G3|M1|P|S',S'|N3|D2|P|N3|D2|M1|G3|R2|S,ఔడవ-సంపూర్ణ,,29,ధీరశంకరాభరణం,,['సింధుముఖ'],"['గౌరీమనోహరి', 'నాగానందిని', 'ఉమాభరణ', 'నాగచంద్రిక', 'నాగభాషిని']",,2
1146,neetimathi,నీతిమతి,"['s', 'r2', 'g2', 'm2', 'p', 'd3', 'n3', 's.']","['s.', 'n3', 'd3', 'p', 'm2', 'g2', 'r2', 's']",S|R2|G2|M2|P|D3|N3|S',S'|N3|D3|P|M2|G2|R2|S,సంపూర్ణ,60,,,దిశి,[],"['వరుణప్రియ', 'దివ్యమణి', ' చిత్రాంబరి', 'యౌతకం', 'యౌచన']",,0
1152,ghanashyamala,ఘనశ్యామల,"['s', 'r1', 'g1', 'm1', 'd2', 'n3', 'd2', 's.']","['s.', 'd2', 'n3', 'p', 'm1', 'g1', 'r1', 's']",S|R1|G1|M1|D2|N3|D2|S',S'|D2|N3|P|M1|G1|R1|S,షాడవ-సంపూర్ణ,,5,మానవతి,,[],"['కోకిలప్రియ', 'తానరూపి', 'పావని', 'వర్ధని', ' గానసమవరాలి']",,3
1157,somurthika,సోమూర్తిక,"['s', 'r1', 'g2', 'm1', 'p', 'n2', 'd1', 's.']","['s.', 'n2', 'd1', 'p', 'm1', 'g2', 'r1', 's']",S|R1|G2|M1|P|N2|D1|S',S'|N2|D1|P|M1|G2|R1|S,సంపూర్ణ,,8,హనుమతోడి,,[],"['ఆనంద', ' అసావేరి', 'అభేరి', 'హిందోళవసంత', 'భూపాల']",,1
1194,anguru,అంగురు,"['s', 'g2', 'm1', 'd1', 'n1', 's.']","['s.', 'n1', 'd1', 'm1', 'g2', 's']",S|G2|M1|D1|N1|S',S'|N1|D1|M1|G2|S,ఔడవ,,7,,,[],"['హిందోళం', 'కాటారం', 'యజ్హ్వల్లోన్', 'వితిక', 'త్రిపదక']",Raga pravaha by Dhandapani MN & D pattammal,0
1195,svarnamallika,స్వర్ణమల్లిక,"['s', 'g2', 'm1', 'p', 'd1', 'n2', 's.']","['s.', 'n2', 'd1', 'p', 'm1', 'g2', 'r1', 's']",S|G2|M1|P|D1|N2|S',S'|N2|D1|P|M1|G2|R1|S,షాడవ-సంపూర్ణ,,8,హనుమతోడి,,"['రంగతోడి', 'జ్ఞానమణి']","['ఆనంద', ' అసావేరి', 'అభేరి', 'హిందోళవసంత', 'భూపాల']",Raga pravaha by Dhandapani MN & D pattammal,0
1198,vaidharba,వైదర్భ,"['s', 'r1', 'g2', 'm1', 'p', 'd1', 'n2', 'p', 's.']","['s.', 'n2', 'd1', 'm1', 'g2', 'r1', 's']",S|R1|G2|M1|P|D1|N2|P|S',S'|N2|D1|M1|G2|R1|S,సంపూర్ణ-షాడవ,,8,హనుమతోడి,,[],"['ఆనంద', ' అసావేరి', 'అభేరి', 'హిందోళవసంత', 'భూపాల']",,1
1206,mukhapriya,ముఖప్రియ,"['s', 'r1', 'g2', 'm1', 'd2', 'n3', 's.']","['s.', 'n3', 'd2', 'm1', 'g2', 'r1', 's']",S|R1|G2|M1|D2|N3|S',S'|N3|D2|M1|G2|R1|S,షాడవ,,11,కోకిలప్రియ,,"['ఉకప్రియా', 'ముఖప్రియ']","['కోకిలప్రియ', 'వర్ధని', 'శుద్దహలలిత', 'వత్స', 'వసంతతోడి']",,0
1216,jhankaradhwani,ఝంకారధ్వని,"['s', 'r2', 'g2', 'm1', 'p', 'd1', 'n1', 's.']","['s.', 'n1', 'd1', 'p', 'm1', 'g2', 'r2', 's']",S|R2|G2|M1|P|D1|N1|S',S'|N1|D1|P|M1|G2|R2|S,సంపూర్ణ,19,,,వేద,[],"['అభేరి', 'మారరంజని', 'శ్యామలాంగి', 'శుద్ధదేశి', 'యోగభైరవి']",,0
1220,karnataka andhali,కర్ణాటక ఆందలి,"['s', 'g3', 'r1', 'm1', 'p', 'd1', 'n2', 's.']","['s.', 'n2', 'p', 'm1', 'g3', 'r1', 's']",S|G3|R1|M1|P|D1|N2|S',S'|N2|P|M1|G3|R1|S,సంపూర్ణ-షాడవ,,14,వకుళాభరణం,,[],"['తోడీ', 'నలత్తం', ' అసావేరి', 'గౌళిపంతు', 'పరజు']",,1
1245,malahari,మలహరి,"['s', 'r1', 'm1', 'p', 'd1', 's.']","['s.', 'd1', 'p', 'm1', 'g3', 'r1', 's']",S|R1|M1|P|D1|S',S'|D1|P|M1|G3|R1|S,ఔడవ-షాడవ,,15,మాయామాళవగౌళ రాగము,,[],"['ఆనంద', ' అసావేరి', 'గౌళిపంతు', 'గౌళ', 'పరజు']",,0
1262,varithae,వరితే,"['s', 'g2', 'p', 'd1', 's.']","['s.', 'n3', 'd1', 'p', 'g2', 's']",S|G2|P|D1|S',S'|N3|D1|P|G2|S,స్వరాంతర-ఔడవ,,21,కీరవాణి,,[],"['కాటారం', 'ఛాయరంజని', 'శ్యామలి', 'వసుమతి', 'వరుధం']",,0
1269,chitrarupi,చిత్రరూపి,"['s', 'r1', 'g1', 'm1', 'd2', 's.']","['s.', 'd2', 'm1', 'g1', 'r1', 's']",S|R1|G1|M1|D2|S',S'|D2|M1|G1|R1|S,ఔడవ,,4,వనస్పతి,,[],"['విత్తలప్రియ', 'వనజంబరి', 'తూణీరధారిణి', 'త్రినేత్రప్రియ', 'తమస్విని']",,0
1279,vanali,వనలి,"['s', 'r1', 'm1', 'p', 'd2', 'n2', 's.']","['s.', 'd2', 'p', 'm1', 'r1', 's']",S|R1|M1|P|D2|N2|S',S'|D2|P|M1|R1|S,షాడవ-ఔడవ,,4,వనస్పతి,,['క్రజావళీ'],"['సురటి', ' అసావేరి', 'నాగకురింజి', 'సింధుభైరవి', 'సుపోసిని']",Raga pravaha by Dhandapani MN & D pattammal,0
1282,natakapriya,నాటకప్రియ,"['s', 'r1', 'g2', 'm1', 'p', 'd2', 'n2', 's.']","['s.', 'n2', 'd2', 'p', 'm1', 'g2', 'r1', 's']",S|R1|G2|M1|P|D2|N2|S',S'|N2|D2|P|M1|G2|R1|S,సంపూర్ణ,10,,,నేత్ర,[],"['తోడీ', 'ఖరహరప్రియ', 'సింధుభైరవి', 'కోకిలప్రియ', 'బాగేశ్రీ']",,0
1295,revati,రేవతీ,"['s', 'r1', 'm1', 'p', 'n2', 's.']","['s.', 'n2', 'p', 'm1', 'r1', 's']",S|R1|M1|P|N2|S',S'|N2|P|M1|R1|S,ఔడవ,,2,రత్నాంగి,,[],"['మధ్యమావతి', ' అసావేరి', 'రసాలి', 'హేమకరహరహరప్రియ', 'విత్తలప్రియ']",,0
1345,himavaluka,హిమవలుక,"['s', 'g1', 'm1', 'p', 'd2', 's.']","['s.', 'd2', 'p', 'm1', 'g1', 's']",S|G1|M1|P|D2|S',S'|D2|P|M1|G1|S,ఔడవ,,4,వనస్పతి,,[],"['విత్తలప్రియ', 'వరవర్ణిని', 'తమస్విని', 'శుధ్ధసావేరి', 'శ్రవంతి']",Raga pravaha by Dhandapani MN & D pattammal,0
1359,ambikaipriyan,అంబికైప్రియన్,"['s', 'r1', 'g2', 'p', 'd1', 'n2', 's.']","['s.', 'n2', 'd1', 'm1', 'g2', 'r1', 's']",S|R1|G2|P|D1|N2|S',S'|N2|D1|M1|G2|R1|S,షాడవ,,8,హనుమతోడి,,[],"['ఆనంద', ' అసావేరి', 'అభేరి', 'నాటకప్రియ', 'మార్గహిందోళం']",Raga pravaha by Dhandapani MN & D pattammal,0
1384,gangeya bhushani,గాంగేయభూషణి,"['s', 'r3', 'g3', 'm1', 'p', 'd1', 'n3', 's.']","['s.', 'n3', 'd1', 'p', 'm1', 'g3', 'r3', 's']",S|R3|G3|M1|P|D1|N3|S',S'|N3|D1|P|M1|G3|R3|S,సంపూర్ణ,33,,,ఋతు,[],"['గౌళిపంతు', 'పరజు', 'కళావతి', 'ధాతువర్ధని', 'విష్ణుప్రియ']",,0
1387,vasantabhairavi,వసంతభైరవి,"['s', 'r1', 'm1', 'p', 'd1', 'n2', 's.']","['s.', 'n2', 'd1', 'p', 'm1', 'r1', 's']",S|R1|M1|P|D1|N2|S',S'|N2|D1|P|M1|R1|S,షాడవ,,14,వకుళాభరణం,,[],"['తోడీ', 'ఆనంద', 'రేవతీ', 'మలహరి', 'పహాడి']",,0
1392,leelaranjani,లీలారంజని,"['s', 'm1', 'r1', 'g1', 'm1', 'p', 's.']","['s.', 'n2', 'd2', 'p', 'm1', 'g1', 'r1', 's']",S|M1|R1|G1|M1|P|S',S'|N2|D2|P|M1|G1|R1|S,ఔడవ-సంపూర్ణ,,4,వనస్పతి,,[],"['నాటకప్రియ', 'మనోరంజనీ', 'రసాలి', 'ఫేనాద్యుతి', 'కుంజరి']",,1
1434,bhavajapriya,భావజప్రియ,"['s', 'g1', 'm1', 'p', 'd1', 'n3', 's.']","['s.', 'n3', 'd1', 'p', 'm1', 'g1', 's']",S|G1|M1|P|D1|N3|S',S'|N3|D1|P|M1|G1|S,షాడవ,,3,గానమూర్తి,,[],"['పహాడి', ' గానసమవరాలి', 'వరవర్ణిని', 'వాగీశ్వరీ', 'ఉసవాలి']",Raga pravaha by Dhandapani MN & D pattammal,0
1462,bhogi,భోగి,"['s', 'g2', 'r1', 'm1', 'p', 'd1', 'n1', 's.']","['s.', 'n1', 'd1', 'p', 'm1', 'd1', 'p', 'm1', 'g2', 'r1']",S|G2|R1|M1|P|D1|N1|S',S'|N1|D1|P|M1|D1|P|M1|G2|R1|S,సంపూర్ణ,,7,సేనావతి,,[],"['తోడీ', 'దేశ్యతోడి', 'కల్గడ', 'ఝంకారధ్వని', 'కేసరి']",,2
1472,geya hejjejjee,గేయహేజ్జజ్జి,"['s', 'r1', 'm1', 'g3', 'm1', 'p', 'd1', 's.']","['s.', 'n1', 'd1', 'p', 'm1', 'g3', 'r1']",S|R1|M1|G3|M1|P|D1|S',S'|N1|D1|P|M1|G3|R1|S,షాడవ-సంపూర్ణ,,13,గాయకప్రియ,,[],"['ఆనంద', 'గౌళిపంతు', 'మలహరి', 'పరజు', 'మారరంజని']",,1
1474,khadhyotha priya,ఖద్యోతప్రియ,"['s', 'r1', 'm1', 'd1', 'n2', 's.']","['s.', 'n2', 'd1', 'm1', 'r1', 's']",S|R1|M1|D1|N2|S',S'|N2|D1|M1|R1|S,ఔడవ,,8,హనుమతోడి,,['వీతశోకన్'],"['హిందోళం', ' అసావేరి', 'రేవతీ', 'నవమాలిక', 'వసంతభైరవి']",Raga pravaha by Dhandapani MN & D pattammal,0
1504,svayamvara,స్వయంవర,"['s', 'g1', 'm1', 'd1', 'n2', 's.']","['s.', 'n2', 'd1', 'm1', 'g1', 's']",S|G1|M1|D1|N2|S',S'|N2|D1|M1|G1|S,ఔడవ,,2,రత్నాంగి,,[],"['హిందోళం', 'విదశోక', 'సవైరిని', 'శుద్ధసత్వ', 'శార్దలాంగి']",Raga pravaha by Dhandapani MN & D pattammal,0
1546,andolika,ఆందోళిక,"['s', 'r2', 'm1', 'p', 'n2', 's.']","['s.', 'n2', 'p', 'm1', 'r2', 'g3', 'm1', 'r2', 's']",S|R2|M1|P|N2|S',S'|N2|P|M1|R2|G3|M1|R2|S,ఔడవ-షాడవ,,28,హరికాంభోజి,,['అండాలి'],"['మధ్యమావతి', 'సురటి', 'ఆరభి', 'జన్జుటి', 'పూర్ణచంద్రిక']",,2
1566,sindhu chintamani,సింధు చింతామణి,"['s', 'r1', 'm1', 'g2', 'm1', 'd1', 'p', 'd1', 's.']","['s.', 'd1', 'p', 'm1', 'g2', 'r1', 's']",S|R1|M1|G2|M1|D1|P|D1|S',S'|D1|P|M1|G2|R1|S,షాడవ,,9,ధేనుక,,[],"['తోడీ', ' అసావేరి', 'మలహరి', 'పహాడి', 'దేశ్యతోడి']",,1
1583,vakkal,వక్కల్,"['s', 'r1', 'm1', 'p', 'd1', 'n2', 's.']","['s.', 'n2', 'd1', 'p', 'm1', 'r1', 's']",S|R1|M1|P|D1|N2|S',S'|N2|D1|P|M1|R1|S,షాడవ,,8,హనుమతోడి,,[],"['తోడీ', 'ఆనంద', 'రేవతీ', 'మలహరి', 'పహాడి']",,0
1599,kamavardhini,కామవర్ధిని,"['s', 'r1', 'g3', 'm2', 'p', 'd1', 'n3', 's.']","['s.', 'n3', 'd1', 'p', 'm2', 'g3', 'r1', 's']",S|R1|G3|M2|P|D1|N3|S',S'|N3|D1|P|M2|G3|R1|S,సంపూర్ణ,51,,,బ్రహ్మ,"['నత్తరగం', 'కాశీరామక్రియ']","['వరాలి', 'నలత్తం', 'గౌళిపంతు', 'శుభపంతువరాళి', 'అమృతవర్షని']",,0
1611,hamsa varidhi,హంస వరిది,"['s', 'r1', 'm1', 'p', 'd1', 's.']","['s.', 'd1', 'p', 'm1', 'r1', 's']",S|R1|M1|P|D1|S',S'|D1|P|M1|R1|S,ఔడవ,,13,గాయకప్రియ,,['హంసవరిది'],"[' అసావేరి', 'రేవతీ', 'మలహరి', 'పహాడి', 'వసంతభైరవి']",,0
1617,malini,మాలిని,"['s', 'r3', 'm1', 'p', 'd3', 'n3', 's.']","['s.', 'n3', 'p', 'm1', 'r3', 's']",S|R3|M1|P|D3|N3|S',S'|N3|P|M1|R3|S,షాడవ-ఔడవ,,36,చలనాట,,[],"['వసుకరి', 'వర్ణకారిన', 'ఉడయరవిచంద్రిక', 'సోమాదిపకం', 'సింహేలసావేరి']",,0
1618,jujahuli,జుజాహులీ,"['s', 'r1', 'm1', 'p', 'n1', 'd1', 'n1', 's.']","['s.', 'n1', 'd1', 'p', 'm1', 'g3', 's']",S|R1|M1|P|N1|D1|N1|S',S'|N1|D1|P|M1|G3|S,షాడవ,,13,గాయకప్రియ,,[],"['ఆనంద', 'గౌళిపంతు', 'మలహరి', 'పరజు', 'మారరంజని']",,1
1620,harikambhoji,హరికాంభోజి,"['s', 'r2', 'g3', 'm1', 'p', 'd2', 'n3', 's.']","['s.', 'n3', 'd2', 'p', 'm1', 'g3', 'r2', 's']",S|R2|G3|M1|P|D2|N3|S',S'|N3|D2|P|M1|G3|R2|S,సంపూర్ణ,28,,,బాణ,[],"['ధీరశంకరాభరణం', 'ఖరహరప్రియ', 'కనడ', 'దర్బార్', 'సురటి']",,0
1650,natya dharana,నాట్యధారణ,"['s', 'r1', 'm1', 'p', 'd2', 's.']","['s.', 'n2', 'd2', 'p', 'm1', 'r1', 's']",S|R1|M1|P|D2|S',S'|N2|D2|P|M1|R1|S,ఔడవ-షాడవ,,10,నాటకప్రియ,,[],"['సురటి', ' అసావేరి', 'రేవతీ', 'నాగకురింజి', 'సింధుభైరవి']",,0
1661,gambhira vasanta,గంభీరవసంత,"['s', 'm1', 'g2', 'm1', 'r1', 'g2', 'm1', 'p', 'n2', 'd1', 'n2', 'p', 'd1', 'n2', 's.']","['s.', 'd1', 'p', 'm1', 'r1', 's']",S|M1|G2|M1|R1|G2|M1|P|N2|D1|N2|P|D1|N2|S',S'|D1|P|M1|R1|S,సంపూర్ణ-ఔడవ,,8,హనుమతోడి,,[],"['ఆనంద', ' అసావేరి', 'అభేరి', 'నాటకప్రియ', 'మార్గహిందోళం']",,1
1663,vasanthi,వాసంతి,"['s', 'r2', 'g3', 'p', 'd1', 's.']","['s.', 'd1', 'p', 'g3', 'r2', 's']",S|R2|G3|P|D1|S',S'|D1|P|G3|R2|S,ఔడవ,,27,సరసాంగి,,[],"['హంసాధ్వని', 'ఆరభి', 'యుద్ధప్రవర్తినీ', 'విపుల', ' వినవాడిని']",,0
1676,simhendramadhyamam,సింహేంద్రమధ్యమం,"['s', 'r2', 'g2', 'm2', 'p', 'd1', 'n3', 's.']","['s.', 'n3', 'd1', 'p', 'm2', 'g2', 'r2', 's']",S|R2|G2|M2|P|D1|N3|S',S'|N3|D1|P|M2|G2|R2|S,సంపూర్ణ,57,,,దిశి,[],"['శుభపంతువరాళి', 'శ్యామలాంగి', 'కైకవశి', 'ఛాయరంజని', 'నీతిమతి']",,0
1696,ghanashyamalangi,ఘనశ్యామలాంగి,"['s', 'g1', 'm1', 'p', 'd2', 'n3', 'p', 's', 's.']","['s.','n3', 'd2', 'p','m1', 'r1', 'g1', 's']",S|G1|M1|P|D2|N3|P|S|S',S'|N3|D2|P|M1|G1|R1|S,షాడవ-ఔడవ,,5,మానవతి,,[],"['కోకిలప్రియ', 'తానరూపి', 'పావని', 'వర్ధని', 'మతిరుఅజలవ']",,1
1709,rathna bhushani,రత్నభూషణి,"['s', 'r2', 'g3', 'm1', 'p', 's.']","['s.', 's', 'm1', 'g3', 'r2', 's']",S|R2|G3|M1|P|S',S'|S|M1|G3|R2|S,ఔడవ-స్వరాంతర,,29,ధీరశంకరాభరణం,,[],"['హంసాధ్వని', 'మధ్యమావతి', 'ఆరభి', 'పూర్ణచంద్రిక', 'అంధోలోక']",,2
1739,aandi vannan,అన్దివణ్ణన్,"['s', 'r1', 'm1', 'p', 'n3', 's.']","['s.', 'n3', 'd1', 'p', 'g3', 's']",S|R1|M1|P|N3|S',S'|N3|D1|P|G3|S,ఔడవ,,15,మాయామాళవగౌళ రాగము,,[],"['కామవర్ధిని', 'ఆనంద', 'గౌళ', 'మలహరి', 'బౌళి']",,0
1748,keeravani,కీరవాణి,"['s', 'r2', 'g2', 'm1', 'p', 'd1', 'n3', 's.']","['s.', 'n3', 'd1', 'p', 'm1', 'g2', 'r2', 's']",S|R2|G2|M1|P|D1|N3|S',S'|N3|D1|P|M1|G2|R2|S,సంపూర్ణ,21,,,వేద,[],"['సింహేంద్రమధ్యమం', 'అభేరి', 'గౌరీమనోహరి', 'సింహవాహిని', 'మార్గహిందోళం']",,0
1750,shaka mukhi,శాకముఖి,"['s', 'r1', 'm1', 'g2', 'm1', 'd1', 'n2', 's.']","['s.', 'n2', 'd1', 'p', 'm1', 'r1', 'm1', 'g2', 's']",S|R1|M1|G2|M1|D1|N2|S',S'|N2|D1|P|M1|R1|M1|G2|S,షాడవ-సంపూర్ణ,,8,హనుమతోడి,,[],"['ఆనంద', ' అసావేరి', 'అభేరి', 'నాటకప్రియ', 'మార్గహిందోళం']",,2
1761,nasikabhushani,నాసికాభూషణి,"['s', 'r3', 'g3', 'm2', 'p', 'd2', 'n2', 's.']","['s.', 'n2', 'd2', 'p', 'm2', 'g3', 'r3', 's']",S|R3|G3|M2|P|D2|N2|S',S'|N2|D2|P|M2|G3|R3|S,సంపూర్ణ,70,,,ఆదిత్య,[],"['సారంగ', 'వాచస్పతి', 'జ్యోతిస్వరూపిణి', 'వగదీశ్వరి', 'శివరంజని']",,0
1771,gayakapriya,గాయకప్రియ,"['s', 'r1', 'g3', 'm1', 'p', 'd1', 'n1', 's.']","['s.', 'n1', 'd1', 'p', 'm1', 'g3', 'r1', 's']",S|R1|G3|M1|P|D1|N1|S',S'|N1|D1|P|M1|G3|R1|S,సంపూర్ణ,13,,,అగ్ని,[],"['ఆనంద', 'గౌళిపంతు', 'మలహరి', 'పరజు', 'మారరంజని']",,0
1772,rasa prathapa,రసప్రతాప,"['s', 'r1', 'g2', 'm1', 'n2', 's.']","['s.', 'n2', 'd1', 'p', 'm1', 'g2', 'r1', 's']",S|R1|G2|M1|N2|S',S'|N2|D1|P|M1|G2|R1|S,ఔడవ-సంపూర్ణ,,8,హనుమతోడి,,[],"['ఆనంద', ' అసావేరి', 'అభేరి', 'నాటకప్రియ', 'మార్గహిందోళం']",,0
1774,divyamavati,దివ్యమావతి,"['s', 'g2', 'm1', 'p', 'd1', 'n2', 's.']","['s.', 'n2', 'd1', 'p', 'm1', 'g2', 's']",S|G2|M1|P|D1|N2|S',S'|N2|D1|P|M1|G2|S,షాడవ,,8,హనుమతోడి,,[],"['తోడీ', 'హిందోళం', ' అసావేరి', 'మణిరంగు', 'అభేరి']",,0
1796,rishabhapriya,రిషభప్రియ,"['s', 'r2', 'g3', 'm2', 'p', 'd1', 'n2', 's.']","['s.', 'n2', 'd1', 'p', 'm2', 'g3', 'r2', 's']",S|R2|G3|M2|P|D1|N2|S',S'|N2|D1|P|M2|G3|R2|S,సంపూర్ణ,62,,,రుద్ర,['రిషభప్రియ'],"['నలత్తం', 'సారంగ', 'వాచస్పతి', 'కుంతలం', 'నమై']",,0
1808,nadha giri,నాదగిరి,"['s', 'r1', 'g2', 'm1', 'p', 'n2', 's.']","['s.', 'n2', 'p', 'm1', 'g2', 'r1', 's']",S|R1|G2|M1|P|N2|S',S'|N2|P|M1|G2|R1|S,షాడవ,,8,హనుమతోడి,,[],"['తోడీ', ' అసావేరి', 'రేవతీ', 'మణిరంగు', 'సింధుభైరవి']",Raga pravaha by Dhandapani MN & D pattammal,0
1838,naradamukhari,నారదముఖారి,"['s', 'r1', 'g2', 'm1', 'p', 'd2', 's.']","['s.', 'n3', 'd2', 'p', 'm1', 'g2', 'r1', 's']",S|R1|G2|M1|P|D2|S',S'|N3|D2|P|M1|G2|R1|S,షాడవ-సంపూర్ణ,,11,కోకిలప్రియ,,[],"['గౌరీమనోహరి', 'నాటకప్రియ', 'మనోరంజనీ', 'భిన్నసడిజం', 'సౌవీర']",,0
